country_code,country_name,risk_level,risk_reason
AF,Afghanistan,CRITICAL,"Taliban governance, narcotics financing"
MM,Myanmar,HIGH,"Military junta sanctions, jade & drug trade"
KP,North Korea,CRITICAL,"State-sponsored cybercrime, sanctions evasion"
IR,Iran,CRITICAL,"OFAC sanctions, terrorism financing"
SY,Syria,CRITICAL,"Civil war proceeds, sanctions"
YE,Yemen,HIGH,"Houthi financing, arms trafficking"
SO,Somalia,HIGH,"Piracy proceeds, al-Shabaab financing"
LY,Libya,HIGH,"Militia financing, arms embargo"
SD,Sudan,HIGH,"Sanctions, gold smuggling"
VE,Venezuela,HIGH,"Maduro regime, PDVSA sanctions evasion"
CU,Cuba,HIGH,"OFAC embargo, state asset transfers"
NI,Nicaragua,MEDIUM,"Ortega regime, money laundering"
HT,Haiti,MEDIUM,"Gang financing, sanctions (2024)"
PK,Pakistan,MEDIUM,"FATF grey-list, hawala networks"
NG,Nigeria,MEDIUM,"Oil bunkering, BEC fraud proceeds"
KH,Cambodia,MEDIUM,"Pig-butchering scam hubs, casino ML"
LA,Laos,MEDIUM,"Golden Triangle narcotics, casino ML"
ZW,Zimbabwe,MEDIUM,"ZANU-PF sanctions, diamond smuggling"
BY,Belarus,HIGH,"Lukashenko sanctions, KGB asset movement"
UA,Ukraine,MEDIUM,Wartime capital flight (conflict zone)
